total_sqft,bath,location,price,size
1045,3,Devasthanagalu,7500000,2
2225,4,Terracon Doctors Enclave,11399999,3
1200,3,Malleswaram,18000000,3
924,3,Lingadheeranahalli,6000000,2
1885,3,Keerthi Signature,14000000,3
1174,3,Abhee Nakshatra,7400000,2
1080,3,Vibhutipura,7200000,2
1100,3,Vibhutipura,7500000,2
1996,3,Manayata Tech Park,15500000,3
2400,4,Biotech Park,10800000,3
830,3,Bommasandra Industrial Area,3400000,2
1000,3,Sector 3,5500000,2
1000,3,Srinivasa Nagar,6700000,2
1164,3,Subramanyapura,6000000,2
870,3,Chandapura,3776000,2
1200,3,Eastwood Township,8300000,2
950,3,Sarjapur,6300000,2
1188,3,AECS Layout,7000000,2
1495,3,Sorahunase,5850000,3
1240,3,Volagerekallahalli,7000000,2
1155,3,Devasthanagalu,5000000,2
1275,3,Monishpark apt,10000000,2
1256,3,Rachenahalli,9000000,2
1350,3,Omkar Nagar,7500000,2
1800,3,PLAM MEADOWS,8000000,3
1745,3,Judicial Layout,8900000,3
1527,3,Konadasapura,12000000,3
1146,3,Choodasandra,8500000,2
1200,3,Gagan gauravi,6000000,2
1735,3,Battarahalli,11500000,3
1480,3,Dodda Kempaiah Layout,7900000,3
1205,3,Kaveri Nagar,12500000,2
1165,3,Narayanappa Garden,4600000,2
1055,3,PJC Pinacle AECS Layout,6000000,2
1030,3,BSM Extension,6000000,2
1625,3,Ardendale,7500000,3
1630,3,7th Phase,17000000,3
2400,4,Saptagiri Layout,11000000,5
800,6,Eco Nana,5600000,2
4895,5,Rachenahalli,40000000,4
2700,4,Dodsworth Layout,28700000,3
1136,3,Sector 2,5850000,2
1264,3,Devasthanagalu,13000000,2
1450,3,Sahakara Nagar,13500000,3
1100,3,Sai Paradise,5600000,2
900,3,Godavari Flats,4000000,2
870,3,Veer Sandra,5000000,2
1500,3,GM Global Techies Town,9000000,3
1450,3,Sahakara Nagar,13000000,3
1100,3,Balaji Enclave,6400000,2
890,3,Veer Sandra,3500000,2
2200,4,Horamavu Agara,21000000,4
1311,3,Belathur,7200000,3
1340,3,Skyline Beverly park,8600000,2
1145,3,Abhee Nakshatra,7700000,2
1102,3,Narayanapura,10000000,2
1628,3,Chamundi Nagar,7500000,2
800,2,Bommasandra Industrial Area,3500000,2
